dt,E2-TH-1-D-01-TEMP,E2-TH-1-D-02-TEMP,E2-TH-1-D-03-TEMP
2026-02-14 19:15:01.001000+07:00,29.9,,
2026-02-14 19:20:01.001000+07:00,29.9,,
2026-02-14 19:25:01.001000+07:00,29.5,,
2026-02-14 19:30:01.001000+07:00,29.6,,
2026-02-14 19:35:01.001000+07:00,29.6,,
2026-02-14 19:40:01.001000+07:00,29.5,,
2026-02-14 19:45:01.001000+07:00,29.8,,
2026-02-14 19:50:01.001000+07:00,29.8,,
2026-02-14 19:55:01.001000+07:00,29.6,,
2026-02-14 20:00:01.001000+07:00,29.7,,
2026-02-14 20:05:02.001000+07:00,29.6,,
2026-02-14 20:10:01.001000+07:00,29.7,,
2026-02-14 20:15:01.001000+07:00,29.5,,
2026-02-14 20:20:01.001000+07:00,29.6,,
2026-02-14 20:25:01.001000+07:00,29.6,,
2026-02-14 20:30:01.001000+07:00,29.7,,
2026-02-14 20:35:01.001000+07:00,29.4,,
2026-02-14 20:40:01.001000+07:00,29.6,,
2026-02-14 20:45:01.001000+07:00,29.6,,
2026-02-14 20:50:01.001000+07:00,29.5,,
2026-02-14 20:55:01.001000+07:00,29.5,,
2026-02-14 21:00:01.001000+07:00,29.4,,
2026-02-14 21:05:01.001000+07:00,29.3,,
2026-02-14 21:10:01.001000+07:00,29.6,,
2026-02-14 21:15:01.001000+07:00,29.3,,
2026-02-14 21:20:01.001000+07:00,29.4,,
2026-02-14 21:25:01.001000+07:00,29.7,,
2026-02-14 21:30:01.001000+07:00,29.7,,
2026-02-14 21:35:01.001000+07:00,29.5,,
2026-02-14 21:40:01.001000+07:00,29.3,,
2026-02-14 21:45:01.001000+07:00,29.7,,
2026-02-14 21:50:01.001000+07:00,29.4,,
2026-02-14 21:55:01.001000+07:00,29.5,,
2026-02-14 22:00:01.001000+07:00,29.7,,
2026-02-14 22:05:01.001000+07:00,29.5,,
2026-02-14 22:10:01.001000+07:00,29.5,,
2026-02-14 22:15:01.001000+07:00,29.5,,
2026-02-14 22:20:01.001000+07:00,29.7,,
2026-02-14 22:25:01.001000+07:00,29.3,,
2026-02-14 22:30:02.001000+07:00,29.4,,
2026-02-14 22:35:01.001000+07:00,29.4,,
2026-02-14 22:40:01.001000+07:00,29.7,,
2026-02-14 22:45:01.001000+07:00,29.7,,
2026-02-14 22:50:01.001000+07:00,29.3,,
2026-02-14 22:55:01.001000+07:00,29.4,,
2026-02-14 23:00:01.001000+07:00,29.4,,
2026-02-14 23:05:01.001000+07:00,29.4,,
2026-02-14 23:10:01.001000+07:00,29.5,,
2026-02-14 23:15:01.001000+07:00,29.3,,
2026-02-14 23:20:01.001000+07:00,29.3,,
2026-02-14 23:25:01.001000+07:00,29.6,,
2026-02-14 23:30:02.001000+07:00,29.3,,
2026-02-14 23:35:01.001000+07:00,29.7,,
2026-02-14 23:40:01.001000+07:00,29.4,,
2026-02-14 23:45:01.001000+07:00,29.6,,
2026-02-14 23:50:01.001000+07:00,29.4,,
2026-02-14 23:55:01.001000+07:00,29.3,,
2026-02-15 00:00:02.001000+07:00,29.5,30.3,
2026-02-15 00:05:01.001000+07:00,29.4,29.9,
2026-02-15 00:10:01.001000+07:00,29.5,30.1,
2026-02-15 00:15:01.001000+07:00,29.3,30.3,
2026-02-15 00:20:01.001000+07:00,29.5,29.9,
2026-02-15 00:25:01.001000+07:00,29.5,30.0,
2026-02-15 00:30:01.001000+07:00,29.3,30.2,
2026-02-15 00:35:01.001000+07:00,29.3,30.1,
2026-02-15 00:40:01.001000+07:00,29.2,29.9,
2026-02-15 00:45:01.001000+07:00,29.5,30.2,
2026-02-15 00:50:01.001000+07:00,29.5,30.0,
2026-02-15 00:55:01.001000+07:00,29.3,30.0,
2026-02-15 01:00:02.001000+07:00,29.4,29.9,
2026-02-15 01:05:01.001000+07:00,29.4,29.8,
2026-02-15 01:10:01.001000+07:00,29.1,29.9,
2026-02-15 01:15:01.001000+07:00,29.3,30.2,
2026-02-15 01:20:01.001000+07:00,29.3,30.2,
2026-02-15 01:25:01.001000+07:00,29.4,30.2,
2026-02-15 01:30:01.001000+07:00,29.4,29.8,
2026-02-15 01:35:01.001000+07:00,29.4,29.9,
